anio,consumo,marca
1998,1.9,wine
1998,3.3,wine
1998,2.1,wine
1998,4.3,wine
1998,2.9,wine
1998,1.8,wine
1998,3.4,wine
1998,3.4,wine
1998,1.1,wine
1998,1.5,wine
1998,2.9,wine
1998,3.9,wine
1998,1.3,wine
1998,4.8,wine
1998,2.3,wine
1998,0.9,wine
1998,1.4,wine
1998,,wine
1998,5.6,wine
1998,1.6,wine
1998,2.7,wine
1998,2.3,wine
1998,2.8,wine
1998,6.4,wine
1998,1.7,wine
1998,3.2,wine
1998,3.6,wine
1998,2,wine
1998,1.7,wine
1998,8.5,wine
1998,3.7,wine
1998,,wine
1998,3.8,wine
1998,1.5,wine
1998,2.3,wine
1998,2.6,wine
1998,6.2,wine
1998,3.6,wine
1998,1.2,wine
1998,6.8,wine
1998,2.2,wine
1998,4.8,wine
1998,4.3,wine
1998,3.4,wine
1998,4.1,wine
1998,2,wine
1998,6.2,wine
1998,1.7,wine
1998,3.1,wine
1998,1.9,wine
1998,3.2,wine
1998,0.6,wine
1998,1.8,wine
1998,3.4,wine
1998,5.7,wine
1998,1.9,wine
1998,5.3,wine
1998,1.6,wine
1998,2.8,wine
1998,2.7,wine
1998,2.1,wine
1998,2.1,wine
1998,4.4,wine
1998,,wine
1998,1.4,wine
1998,3.4,wine
1998,8.8,wine
1998,1.7,wine
1998,1.4,wine
1998,2.6,wine
1998,4.8,wine
1998,2.3,wine
1998,3,wine
1998,3.6,wine
1998,1,wine
1998,3.7,wine
1998,1.6,wine
1998,3,wine
1998,4.7,wine
1998,,wine
1998,1.6,wine
1998,0.3,wine
1998,1.7,wine
1998,3,wine
1998,3.5,wine
1999,2.3,wine
1999,2.2,wine
1999,2.9,wine
1999,4.6,wine
1999,3.8,wine
1999,1.5,wine
1999,2.7,wine
1999,3.1,wine
1999,1.3,wine
1999,1.8,wine
1999,3.5,wine
1999,2.5,wine
1999,2.1,wine
1999,3.8,wine
1999,3.4,wine
1999,1.1,wine
1999,1.6,wine
1999,,wine
1999,5.6,wine
1999,1.8,wine
1999,3.1,wine
1999,2.7,wine
1999,2.8,wine
1999,6.5,wine
1999,2.1,wine
1999,2.4,wine
1999,2.5,wine
1999,1.5,wine
1999,1.8,wine
1999,6.8,wine
1999,4,wine
1999,,wine
1999,3.8,wine
1999,1.3,wine
1999,3,wine
1999,3.1,wine
1999,4.8,wine
1999,1.8,wine
1999,1.4,wine
1999,6.6,wine
1999,2.3,wine
1999,4.5,wine
1999,4.6,wine
1999,3.8,wine
1999,4.9,wine
1999,2.5,wine
1999,7.5,wine
1999,1.6,wine
1999,3.8,wine
1999,2,wine
